EmployeeID,EmployeeName,Salary,Position,State,DateOfBirth,Gender,MaritalStatus,HiringDate,TerminationDate,EmploymentStatus,Department,RecruitmentSource,PerformanceScore,EngagementSurvey,EmployeeSatisfaction
1,Sohan kumar,62506,ML Developer,MA,07-10-1983,M ,Single,07-05-2011,NULL,Active,Machine Learning       ,LinkedIn,Exceeds,4.6,5
2,Shreemram Sahu,104437,Data scientist,MA,05-05-1975,M ,Married,3/30/2015,6/16/2016,Voluntarily Terminated,IT/IS,Indeed,Fully Meets,4.96,3
3,Michael Williams,64955,Data anylist,MA,09/19/88,F,Married,07-05-2011,9/24/2012,Voluntarily Terminated,Machine Learning       ,LinkedIn,Fully Meets,3.02,3
4,Emily Brown,64991,ML Developer,MA,09/27/88,F,Married,01-07-2008,NULL,Active,Machine Learning       ,Indeed,Fully Meets,4.84,5
5,David Jones,50825,ML Developer,MA,09-08-1989,F,Divorced,07-11-2011,09-06-2016,Voluntarily Terminated,Machine Learning       ,Google Search,Fully Meets,5,4
6,Jessica Davis,57568,ML Developer,MA,05/22/77,F,Single,01-09-2012,NULL,Active,Machine Learning       ,LinkedIn,Exceeds,5,5
7,Christopher Miller,95660,Software Engineer,MA,05/24/79,F,Single,11-10-2014,NULL,Active,Engineering,LinkedIn,Fully Meets,3.04,3
8,Ashley Wilson,59365,ML Developer,MA,02/18/83,M ,Widowed,9/30/2013,NULL,Active,Machine Learning       ,Employee Referral,Fully Meets,5,4
9,Harsh parihar,47837,ML Developer,MA,02-11-1970,F,Single,07-06-2009,NULL,Active,Machine Learning       ,Diversity Job Fair,Fully Meets,4.46,3
10,Samantha Taylor,50178,IT Support,MA,01-07-1988,M ,Divorced,01-05-2015,NULL,Active,IT/IS,Indeed,Fully Meets,5,5
11,Dinesh Martinez,54670,ML Developer,MA,01-12-1974,F,Married,01-10-2011,01-12-2017,Voluntarily Terminated,Machine Learning       ,Diversity Job Fair,Fully Meets,4.2,4
12,Ashish Thomas,47211,ML Developer,MA,02/21/74,M ,Married,04-02-2012,9/19/2016,Voluntarily Terminated,Machine Learning       ,Diversity Job Fair,Fully Meets,4.2,3
